region,region_code,district_code,lga,ward,subvillage
Iringa,11,5,Ludewa,Mundindi,Mnyusi B
Mara,20,2,Serengeti,Natta,Nyamara
Manyara,21,4,Simanjiro,Ngorika,Majengo
Mtwara,90,63,Nanyumbu,Nanyumbu,Mahakamani
Kagera,18,1,Karagwe,Nyakasimbi,Kyanyamisa
Tanga,4,8,Mkinga,Moa,Moa/Mwereme
Shinyanga,17,3,Shinyanga Rural,Samuye,Ishinabulandi
Shinyanga,17,3,Kahama,Chambo,Nyawishi Center
Tabora,14,6,Tabora Urban,Itetemia,Imalauduki
Kagera,18,1,Karagwe,Kaisho,Mkonomre
Pwani,60,43,Mkuranga,Tambani,Mizugo
Ruvuma,10,5,Namtumbo,Msindo,Ngondombwito
Shinyanga,17,2,Maswa,Busilili,Nkilifa
Kilimanjaro,3,7,Siha,Siha Kaskazini,Omarini
Shinyanga,17,6,Meatu,Nkoma,Mwabasabi
Rukwa,15,2,Sumbawanga Rural,Mkowe,Tunzi
Iringa,11,4,Njombe,Mdandu,Kidudumo
Iringa,11,4,Njombe,Usuka,Yeriko
Mwanza,19,1,Ukerewe,Ilangala,Center
Iringa,11,5,Ludewa,Mawengi,Manyanya
Iringa,11,4,Njombe,Matola,Majengo
Shinyanga,17,1,Bariadi,Ikungulyabashashi,Ibabachegu
Iringa,11,4,Njombe,Usuka,Mkanivega
Kilimanjaro,3,3,Same,Kisiwani,Mkonga Juu
Kigoma,16,3,Kigoma Rural,Mkigo,Msasa
Kilimanjaro,3,4,Moshi Rural,Kimochi,Kitereni
Lindi,80,23,Lindi Rural,Rutamba,Shuleni
Kagera,18,1,Karagwe,Nyaishozi,Chakahaya
Kilimanjaro,3,1,Rombo,Mengwe Manda,Kiyao
Kilimanjaro,3,7,Siha,Siha Kati,Merali
Dodoma,1,4,Chamwino,Dabalo,Karume
Pwani,6,1,Bagamoyo,Chalinze,Kudipera
Kilimanjaro,3,4,Moshi Rural,Kilema  Kati,Mosheni
Iringa,11,5,Ludewa,Lupanga,Lupanga A
Pwani,60,63,Mafia,Baleni,Kilombero B
Arusha,2,2,Arusha Rural,Oltrumet,Afya
Mbeya,12,3,Kyela,Katumbasongwe,Ndanganyika
Dodoma,1,1,Kondoa,Mnenia,Baura
Iringa,11,7,Kilolo,Boma la ng'ombe,Mwanzala
Kigoma,16,1,Kibondo,Rugongowe,Nyabwai B
Kilimanjaro,3,4,Moshi Rural,Kahe,Reli B
Iringa,11,3,Makete,Ipelele,Kilunduwe
Iringa,11,4,Njombe,Mtwango,Sokoni
Singida,13,2,Singida Rural,Merya,Mwarufyu
Arusha,2,2,Arusha Rural,Nduruma,Marurani Juu
Shinyanga,17,3,Shinyanga Rural,Samuye,Isenegeja
Mtwara,90,33,Masasi,Sindano,Kachulu
Mbeya,12,4,Rungwe,Kiwira,Mpandapanda
Iringa,11,7,Kilolo,Boma la ng'ombe,Mlandege Juu
Iringa,11,4,Njombe,Wangama,Ikanga
Kilimanjaro,3,6,Moshi Urban,Msaranga,Msaranga Street
Rukwa,15,2,Sumbawanga Rural,Laela,Maporomoko
Mbeya,12,3,Kyela,Makwale,Isimba
Mwanza,19,6,Geita,Nyang'hwale,Center
Kagera,18,1,Karagwe,Kiruruma,Kagoye B
Kilimanjaro,3,6,Moshi Urban,Njoro,Dhobi Street
Kilimanjaro,3,4,Moshi Rural,Kurua Vunjo Mashariki,Msufini
Arusha,2,2,Arusha Rural,Oltroto,Soyekiutu
Manyara,21,3,Mbulu,Bargish,Ants B
Kagera,18,2,Bukoba Rural,Izimbya,Izimbya 'A'
Tanga,4,3,Muheza,Kicheba,Nairobi
